,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
45,2015,45328,SH.DTH.MORT.MA,NER,Niger,Sub-Saharan Africa ,Low income,IDA
46,2016,44876,SH.DTH.MORT.MA,NER,Niger,Sub-Saharan Africa ,Low income,IDA
47,2017,44407,SH.DTH.MORT.MA,NER,Niger,Sub-Saharan Africa ,Low income,IDA
48,2018,44120,SH.DTH.MORT.MA,NER,Niger,Sub-Saharan Africa ,Low income,IDA
49,2019,43768,SH.DTH.MORT.MA,NER,Niger,Sub-Saharan Africa ,Low income,IDA
50,2010,16795,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
51,2011,16312,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
52,2012,15879,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
53,2013,15494,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
54,2014,15127,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
55,2015,14842,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
56,2016,14624,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
57,2017,14465,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
58,2018,14305,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
59,2019,14121,SH.DTH.MORT.MA,USA,United States,North America,High income,Not classified
